time,pm1s10,pm1s25,pm1e10,pm1e25
2025-02-12 12:12:26+00:00,,,,54.0
2025-02-12 12:13:27+00:00,,,,63.0
2025-02-12 12:14:29+00:00,,,,70.0
2025-02-12 12:16:32+00:00,,,,66.0
2025-02-12 12:17:33+00:00,,,,54.0
2025-02-12 12:18:34+00:00,,,,54.0
2025-02-12 16:50:36+00:00,,,,110.0
2025-02-12 17:48:02+00:00,,,,62.0
2025-02-12 17:49:04+00:00,,,,58.0
2025-02-12 17:50:05+00:00,,,,58.0
2025-02-12 17:51:07+00:00,,,,59.0
2025-02-12 17:52:08+00:00,,,,59.0
2025-02-12 17:53:10+00:00,,,,54.0
2025-02-12 17:54:11+00:00,,,,59.0
2025-02-12 17:55:12+00:00,,,,70.0
2025-02-12 17:59:17+00:00,,,,59.0
2025-02-12 18:00:18+00:00,,,,63.0
2025-02-12 18:01:20+00:00,,,,65.0
2025-02-12 18:02:21+00:00,,,,62.0
2025-02-12 19:14:23+00:00,,,,107.0
2025-02-12 19:15:24+00:00,,,,82.0
2025-02-12 19:16:25+00:00,,,,83.0
2025-02-12 19:17:27+00:00,,,,93.0
2025-02-12 19:18:28+00:00,,,,71.0
2025-02-12 19:19:30+00:00,,,,68.0
2025-02-12 19:20:31+00:00,,,,81.0
2025-02-12 19:22:34+00:00,,,,80.0
2025-02-12 19:23:35+00:00,,,,76.0
2025-02-12 19:24:37+00:00,,,,111.0
2025-02-12 19:26:40+00:00,,,,74.0
2025-02-12 19:27:41+00:00,,,,64.0
2025-02-12 19:29:44+00:00,,,,73.0
2025-02-12 19:31:47+00:00,,,,81.0
2025-02-12 19:32:48+00:00,,,,68.0
2025-02-12 19:33:50+00:00,,,,85.0
2025-02-12 19:34:50+00:00,,,,67.0
2025-02-12 19:35:51+00:00,,,,64.0
2025-02-12 19:36:53+00:00,,,,57.0
2025-02-12 19:37:54+00:00,,,,52.0
2025-02-12 19:38:55+00:00,,,,77.0
2025-02-12 19:39:56+00:00,,,,77.0
2025-02-12 19:40:57+00:00,,,,79.0
2025-02-12 19:41:59+00:00,,,,73.0
2025-02-12 19:43:00+00:00,,,,79.0
2025-02-12 19:44:03+00:00,,,,86.0
2025-02-12 19:45:03+00:00,,,,83.0
2025-02-12 19:46:03+00:00,,,,76.0
2025-02-12 19:47:04+00:00,,,,80.0
2025-02-12 19:48:05+00:00,,,,57.0
2025-02-12 20:11:38+00:00,,,,59.0
2025-02-12 20:12:39+00:00,,,,76.0
2025-02-12 20:13:41+00:00,,,,65.0
2025-02-12 20:14:42+00:00,,,,72.0
2025-02-12 20:15:44+00:00,,,,56.0
2025-02-12 20:16:45+00:00,,,,79.0
2025-02-12 20:17:47+00:00,,,,77.0
2025-02-12 20:18:47+00:00,,,,81.0
2025-02-12 20:19:48+00:00,,,,89.0
2025-02-12 20:20:50+00:00,,,,59.0
